日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.575715868,1.235495323,-0.084063588,,,
2013/1/8,0.385798648,1.045578104,-0.273980807,,,
2013/1/15,0.344122908,1.003902364,-0.315656547,,,
2013/1/22,0.337710873,0.997490329,-0.322068582,,,
2013/1/29,0.316421758,0.976201213,-0.343357698,,,
2013/2/5,0.300189332,0.959968787,-0.359590124,,,
2013/2/19,0.270342117,0.930121573,-0.389437338,,,
2013/2/26,0.251806899,0.911586354,-0.407972557,,,
2013/3/5,0.209190625,0.86897008,-0.450588831,,,
2013/3/12,0.217715662,0.877495117,-0.442063794,,,
2013/3/19,0.246185725,0.90596518,-0.413593731,,,
2013/3/26,0.242051149,0.901830604,-0.417728307,,,
2013/4/2,0.240671142,0.900450597,-0.419108314,,,
2013/4/9,0.230484202,0.890263657,-0.429295254,,,
2013/4/16,0.241892894,0.901672349,-0.417886562,,,
2013/4/23,0.262064128,0.921843584,-0.397715327,,,
2013/4/30,0.300142747,0.959922203,-0.359636708,,,
2013/5/7,0.271491511,0.931270966,-0.388287945,,,
2013/5/14,0.324034795,0.98381425,-0.335744661,,,
2013/5/21,0.302582556,0.962362012,-0.357196899,,,
2013/5/28,0.322379811,0.982159267,-0.337399644,,,
2013/6/4,0.313618984,0.97339844,-0.346160471,,,
2013/6/11,0.313734305,0.973513761,-0.34604515,,,
2013/6/18,0.309877024,0.96965648,-0.349902431,,,
2013/6/25,0.269726419,0.929505875,-0.390053036,,,
2013/7/2,0.331781855,0.991561311,-0.3279976,,,
2013/7/9,0.284565732,0.944345187,-0.375213724,,,
2013/7/16,0.366903344,1.026682799,-0.292876112,,,
2013/7/23,0.295300319,0.955079774,-0.364479137,,,
2013/7/30,0.327318343,0.987097798,-0.332461113,,,
2013/8/6,0.320709047,0.980488503,-0.339070408,,,
2013/8/13,0.333145444,0.9929249,-0.326634011,,,
2013/8/20,0.324686927,0.984466382,-0.335092529,,,
2013/8/27,0.272763871,0.932543326,-0.387015585,,,
2013/9/3,0.318693371,0.978472827,-0.341086084,,,
2013/9/10,0.277672001,0.937451456,-0.382107455,,,
2013/9/17,0.290928771,0.950708227,-0.368850684,,,
2013/9/24,0.284271719,0.944051174,-0.375507737,,,
2013/10/1,0.281994116,0.941773571,-0.37778534,,,
2013/10/8,0.251982386,0.911761841,-0.40779707,,,
2013/10/15,0.255754242,0.915533697,-0.404025214,,,
2013/10/22,0.215541013,0.875320468,-0.444238443,,,
2013/10/29,0.261788317,0.921567772,-0.397991139,,,
2013/11/5,0.226910014,0.88668947,-0.432869441,,,
2013/11/12,0.288189333,0.947968789,-0.371590122,,,
2013/11/19,0.298386765,0.958166221,-0.36139269,,,
2013/11/26,0.283839157,0.943618612,-0.375940299,,,
2013/12/3,0.359681985,1.019461441,-0.30009747,,,
2013/12/10,0.287217237,0.946996693,-0.372562218,,,
2013/12/17,0.32917326,0.988952715,-0.330606196,,,
2013/12/24,0.290276177,0.950055633,-0.369503278,,,
2014/1/1,0.300288168,0.960067623,-0.359491288,,,
2014/1/8,0.302675453,0.962454908,-0.357104003,,,
2014/1/15,0.292550843,0.952330298,-0.367228613,,,
2014/1/22,0.311978798,0.971758253,-0.347800658,,,
2014/1/29,0.303749743,0.963529198,-0.356029713,,,
2014/2/5,0.308618441,0.968397897,-0.351161014,,,
2014/2/12,0.323578985,0.983358441,-0.33620047,,,
2014/2/19,0.307135182,0.966914637,-0.352644274,,,
2014/2/26,0.313325851,0.973105307,-0.346453604,,,
2014/3/5,0.319035047,0.978814502,-0.340744409,,,
2014/3/12,0.279913384,0.939692839,-0.379866072,,,
2014/3/19,0.340499589,1.000279044,-0.319279867,,,
2014/3/26,0.294610686,0.954390142,-0.365168769,,,
2014/4/2,0.309522944,0.969302399,-0.350256512,,,
2014/4/9,0.303730088,0.963509544,-0.356049367,,,
2014/4/16,0.290363324,0.95014278,-0.369416131,,,
2014/4/23,0.297807943,0.957587399,-0.361971512,,,
2014/4/30,0.262853858,0.922633313,-0.396925598,,,
2014/5/7,0.283467508,0.943246963,-0.376311948,,,
2014/5/14,0.255550165,0.915329621,-0.40422929,,,
2014/5/21,0.288591736,0.948371192,-0.371187719,,,
2014/5/28,0.310104175,0.96988363,-0.349675281,,,
2014/6/4,0.310334432,0.970113887,-0.349445024,,,
2014/6/11,0.299978158,0.959757614,-0.359801297,,,
2014/6/18,0.281710765,0.94149022,-0.378068691,,,
2014/6/25,0.288081216,0.947860671,-0.37169824,,,
2014/7/2,0.307722809,0.967502265,-0.352056646,,,
2014/7/9,0.340158999,0.999938455,-0.319620456,,,
2014/7/16,0.324906335,0.984685791,-0.33487312,,,
2014/7/23,0.359136815,1.01891627,-0.300642641,,,
2014/7/30,0.317594839,0.977374295,-0.342184616,,,
2014/12/17,0.332272848,0.992052303,-0.327506608,,,
2014/12/24,0.280177717,0.939957172,-0.379601739,,,
2014/12/31,0.317915983,0.977695439,-0.341863472,,,
2015/1/1,0.298285001,0.958064456,-0.361494455,,,
2015/1/8,0.285287708,0.945067163,-0.374491748,,,
2015/1/15,0.306391825,0.966171281,-0.35338763,,,
2015/1/22,0.291908855,0.951688311,-0.3678706,,,
2015/1/29,0.2971185,0.956897955,-0.362660956,,,
2015/2/5,0.295759669,0.955539124,-0.364019787,,,
2015/2/12,0.326146041,0.985925497,-0.333633414,,,
2015/2/19,0.328738959,0.988518414,-0.331040497,,,
2015/2/26,0.375511202,1.035290658,-0.284268253,,,
2015/3/5,0.322809576,0.982589031,-0.33696988,,,
2015/3/12,0.337717943,0.997497399,-0.322061512,,,
2015/3/19,0.33701224,0.996791696,-0.322767215,,,
2015/3/26,0.373186218,1.032965674,-0.286593237,,,
2015/4/2,0.366791848,1.026571303,-0.292987608,,,
2015/4/9,0.400535012,1.060314467,-0.259244444,,,
2015/4/16,0.388502621,1.048282076,-0.271276835,,,
2015/4/23,0.393940455,1.053719911,-0.265839,,,
2015/4/30,0.357082616,1.016862071,-0.30269684,,,
2015/5/7,0.358338607,1.018118062,-0.301440849,,,
2015/5/14,0.34481057,1.004590026,-0.314968885,,,
2015/5/21,0.341316713,1.001096168,-0.318462743,,,
2015/5/28,0.380671263,1.040450719,-0.279108192,,,
2015/6/4,0.310032612,0.969812067,-0.349746844,,,
2015/6/11,0.351481441,1.011260897,-0.308298014,,,
2015/6/18,0.367861019,1.027640474,-0.291918437,,,
2015/6/25,0.393067215,1.05284667,-0.266712241,,,
2015/7/2,0.494369319,1.154148775,-0.165410136,,,
2015/7/9,0.378770166,1.038549621,-0.28100929,,,
2015/7/16,0.410841129,1.070620585,-0.248938326,,,
2015/7/23,0.32259591,0.982375366,-0.337183545,,,
2015/7/30,0.39909053,1.058869986,-0.260688925,,,
2015/8/6,0.373875179,1.033654634,-0.285904277,,,
2015/8/13,0.389187869,1.048967325,-0.270591586,,,
2015/8/20,0.395517537,1.055296992,-0.264261919,,,
2015/8/27,0.565256291,1.225035747,-0.094523164,,,
2015/9/3,0.474875266,1.134654722,-0.184904189,,,
2015/9/10,0.619152638,1.278932094,-0.040626817,,,
2015/9/17,0.675278937,1.335058392,0.015499481,,,
2015/9/24,0.824287765,1.484067221,0.16450831,,,
2015/10/1,0.694302661,1.354082117,0.034523206,,,
2015/10/8,0.728257018,1.388036473,0.068477562,,,
2015/10/15,0.637071455,1.296850911,-0.022708,,,
2015/10/22,0.524078745,1.1838582,-0.135700711,,,
2015/10/29,0.919268586,1.579048042,0.259489131,,,
2015/11/5,0.617771103,1.277550559,-0.042008352,,,
2015/11/12,1.106671256,1.766450712,0.446891801,,,
2015/11/19,0.666514195,1.326293651,0.00673474,,,
2015/11/26,1.015858179,1.675637635,0.356078724,,,
2015/12/3,0.726901564,1.38668102,0.067122109,,,
2015/12/10,0.810823412,1.470602867,0.151043956,,,
2015/12/17,0.807668009,1.467447464,0.147888553,,,
2015/12/24,0.441799206,1.101578661,-0.21798025,,,
2015/12/31,0.631134286,1.290913742,-0.028645169,,,
2016/1/8,0.31395406,0.973733515,-0.345825396,,,
2016/1/15,0.58094797,1.240727426,-0.078831485,,,
2016/1/22,0.578713641,1.238493096,-0.081065815,,,
2016/1/29,0.67922032,1.338999776,0.019440865,,,
2016/2/5,0.618900086,1.278679541,-0.04087937,,,
2016/2/12,0.587658259,1.247437714,-0.072121197,,,
2016/2/19,0.471531522,1.131310978,-0.188247933,,,
2016/2/26,0.443845042,1.103624497,-0.215934414,,,
2016/3/4,0.53459819,1.194377645,-0.125181266,,,
2016/3/11,0.505668759,1.165448215,-0.154110696,,,
2016/3/18,0.624555999,1.284335454,-0.035223457,,,
2016/3/25,0.602868791,1.262648246,-0.056910665,,,
2016/4/1,0.614067857,1.273847313,-0.045711598,,,
2016/4/8,0.585609494,1.245388949,-0.074169962,,,
2016/4/15,0.732456435,1.39223589,0.072676979,,,
2016/4/22,0.702663692,1.362443148,0.042884237,,,
2016/4/29,0.754614962,1.414394418,0.094835507,,,
2016/5/6,0.718313822,1.378093277,0.058534366,,,
2016/5/13,0.780446716,1.440226172,0.120667261,,,
2016/5/20,0.656646202,1.316425658,-0.003133253,,,
2016/5/27,0.753382951,1.413162406,0.093603495,,,
2016/6/3,1.068261995,1.72804145,0.408482539,,,
2016/6/10,1.155457883,1.815237338,0.495678427,,,
2016/6/17,1.251712386,1.911491842,0.591932931,,,
2016/6/24,1.016201218,1.675980674,0.356421763,,,
2016/7/1,0.97179899,1.631578446,0.312019535,,,
2016/7/8,0.885800622,1.545580078,0.226021167,,,
2016/7/15,1.00945116,1.669230615,0.349671704,,,
2016/7/22,1.007553105,1.66733256,0.347773649,,,
2016/7/29,0.988751079,1.648530535,0.328971624,,,
2016/8/5,0.910622649,1.570402105,0.250843194,,,
2016/8/12,0.802750967,1.462530423,0.142971512,,,
2016/8/19,0.776052561,1.435832017,0.116273106,,,
2016/8/26,0.843461522,1.503240977,0.183682066,,,
2016/9/2,0.846226693,1.506006148,0.186447237,,,
2016/9/9,0.866888671,1.526668127,0.207109216,,,
2016/9/16,0.727940046,1.387719502,0.068160591,,,
2016/9/23,0.987064339,1.646843794,0.327284883,,,
2016/9/30,0.84773642,1.507515876,0.187956965,,,
2016/10/7,1.132661028,1.792440483,0.472881572,,,
2016/10/14,0.926223024,1.58600248,0.266443569,,,
2016/10/21,0.970908371,1.630687827,0.311128916,,,
2016/10/28,0.986059091,1.645838546,0.326279635,,,
2016/11/4,0.838764148,1.498543604,0.178984693,,,
2016/11/11,1.210458217,1.870237672,0.550678761,,,
2016/11/18,0.995425275,1.65520473,0.335645819,,,
2016/11/25,1.128398171,1.788177626,0.468618715,,,
2016/12/2,0.93932884,1.599108296,0.279549385,,,
2016/12/9,1.065884407,1.725663863,0.406104952,,,
2016/12/16,1.010492157,1.670271613,0.350712702,,,
2016/12/23,0.872513301,1.532292756,0.212733845,,,
2016/12/30,0.876178984,1.535958439,0.216399528,,,
2017/1/1,1.380367704,2.040147159,0.720588248,,,
2017/1/8,0.724286523,1.384065979,0.064507068,,,
2017/1/15,0.662013259,1.321792714,0.002233803,,,
2017/1/22,0.735883474,1.395662929,0.076104018,,,
2017/1/29,0.871363683,1.531143138,0.211584227,,,
2017/2/5,0.715215628,1.374995083,0.055436172,,,
2017/2/12,0.742754155,1.402533611,0.0829747,,,
2017/2/19,0.506180609,1.165960064,-0.153598847,,,
2017/2/26,0.604400943,1.264180399,-0.055378512,,,
